Subgenus	Species	Catalog_number	Repetition
Eleutherodactylus	Eleutherodactylus_antillensis 	UF100855	1
Eleutherodactylus	Eleutherodactylus_antillensis 	UF100855	2
Eleutherodactylus	Eleutherodactylus_antillensis 	UF100855	3
Eleutherodactylus	Eleutherodactylus_antillensis 	UF100855	4
Euhyas	Eleutherodactylus_ricordii	UF179256	1
Euhyas	Eleutherodactylus_ricordii	UF179256	2
Euhyas	Eleutherodactylus_ricordii	UF179256	3
Euhyas	Eleutherodactylus_ricordii	UF179256	4
Fossil	Eleutherodactylus_sp	UF-UF-494614	1
Fossil	Eleutherodactylus_sp	UF-UF-494614	2
Fossil	Eleutherodactylus_sp	UF-UF-494614	3
Fossil	Eleutherodactylus_sp	UF-UF-494614	4
Fossil	Eleutherodactylus_sp	UF-UF-501310	1
Fossil	Eleutherodactylus_sp	UF-UF-501310	2
Fossil	Eleutherodactylus_sp	UF-UF-501310	3
Fossil	Eleutherodactylus_sp	UF-UF-501310	4
