Subgenus	Species	Catalog_number	Snout-urostyle_length_(mm)	Distal_condyle
Eleutherodactylus	Eleutherodactylus_antillensis	UF100855	35.39	complete
Euhyas	Eleutherodactylus_atkinsi	UF177996	30.92	complete
Eleutherodactylus	Eleutherodactylus_cochranae	UF153063	23.24	complete
Eleutherodactylus	Eleutherodactylus_coqui	UF21290	32.65	complete
Schwartzius	Eleutherodactylus_counouspeus	UF100966	41.36	incomplete
Euhyas	Eleutherodactylus_cuneatus	USNM-H-5202	35.48	incomplete
Euhyas	Eleutherodactylus_dimidiatus	UF21949	16.96	incomplete
Eleutherodactylus	Eleutherodactylus_eneidae	UF100532	25.01	complete
Euhyas	Eleutherodactylus_eunaster	CAS119580	30.02	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58215	52.09	complete
Euhyas	Eleutherodactylus_glaphycompus	UF56811	33.86	complete
Eleutherodactylus	Eleutherodactylus_gryllus	KU-H0-279279	17	complete
Eleutherodactylus	Eleutherodactylus_hedricki	UF137271	47.26	complete
Pelorius	Eleutherodactylus_inoptatus	UF42264	37.27	incomplete
Eleutherodactylus	Eleutherodactylus_jasperi	KU-H-280595	18.67	complete
Eleutherodactylus	Eleutherodactylus_johnstonei	UF27911	23.96	complete
Eleutherodactylus	Eleutherodactylus_karlschmidti	UF24198	62.36	incomplete
Euhyas	Eleutherodactylus_lentus	KU-94394	34.21	complete
Euhyas	Eleutherodactylus_monensis	UF39548	20.01	incomplete
Euhyas	Eleutherodactylus_orcutti	UF-HERP-3006	32.77	complete
Euhyas	Eleutherodactylus_orientalis	UF167747	11.94	complete
Syrrhophus	Eleutherodactylus_pipilans	UF104284	21.92	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-100175	23.64	complete
Eleutherodactylus	Eleutherodactylus_portoricensis 	UF103249	27.75	complete
Eleutherodactylus	Eleutherodactylus_richmondi	UF100531	33.81	complete
Euhyas	Eleutherodactylus_ricordii	UF179256	17.85	complete
Euhyas	Eleutherodactylus_turquinensis	348804d	22.54	incomplete
