Subgenus	Species	Catalog_number	Snout-urostyle_length_(mm)	Distal_condyle
Euhyas	Eleutherodactylus_glandulifer	UF-H-53897	30.89	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58159	25.12	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58176	46.25	complete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58179	27.97	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58191	30.32	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58194	36.42	complete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58195	45.59	complete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58198	24.36	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58199	35.26	complete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58215	52.09	complete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58216	35.73	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58224	29.05	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58233	34.43	complete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58235	46.33	complete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58241	33.49	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-58243	26.89	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-63992	30.49	incomplete
Euhyas	Eleutherodactylus_glandulifer	UF-H-71862	43.12	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-339-1	22.21	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-1239-6	21.03	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-2901-3	23.5	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-25938	22.37	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-100175	23.72	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-101528	20.72	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-101532	23.02	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-183901	22.89	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-187125	16.77	complete
Euhyas	Eleutherodactylus_planirostris	UF-H-187128	18.53	complete
