Subgenus,Species,Catalog number,Acetabulum ht.,Ilium w. post acetabulum,Urostyle ant. w.,Humerus head w.,Olecranon w.,Radioulna prox. w.,Sacrum post. condyle w.,Sacrum centrum w.,Sacrum ant. condyle w.,Max w. distal humerus,Snout-urostyle length (mm),Distal_condyle
Eleutherodactylus,Eleutherodactylus antillensis ,UF100855,1.77,1.47,1.64,1.48,1.62,1.15,1.69,0.74,1.16,2.1,35.39,complete
Euhyas,Eleutherodactylus atkinsi,UF177996,1.52,1.23,1.07,1.07,1.09,0.9,1.06,0.61,0.89,1.46,30.92,complete
Eleutherodactylus,Eleutherodactylus cochranae,UF153063,1.15,0.97,0.89,0.84,0.98,0.72,0.95,0.52,0.82,1.18,23.24,complete
Eleutherodactylus,Eleutherodactylus coqui,UF21290,1.62,1.35,1.4,1.15,1.2,0.81,1.32,0.63,1.15,1.69,32.65,complete
Schwartzius,Eleutherodactylus counouspeus,UF 100966,2.08,1.5,1.56,1.56,1.95,1.17,1.65,0.83,1.38,2.04,41.36,incomplete
Euhyas,Eleutherodactylus dimidiatus,UF21949,1.06,0.81,0.74,0.65,0.75,0.61,0.69,0.47,0.65,0.94,16.96,incomplete
Eleutherodactylus,Eleutherodactylus eneidae,UF100532,1.24,0.91,0.89,0.85,0.93,0.7,0.89,0.63,0.86,1.13,25.01,complete
Euhyas,Eleutherodactylus eunaster,CAS119580,1.75,1.39,1.38,1.31,1.45,0.83,1.34,0.64,0.96,1.84,30.02,incomplete
Euhyas,Eleutherodactylus glaphycompus,UF56811,1.45,1.21,1.1,0.99,1.13,0.8,1.1,0.7,1.02,1.32,33.86,complete
Eleutherodactylus,Eleutherodactylus gryllus,KU-H0-279279,0.75,0.71,0.58,0.55,0.63,0.42,0.58,0.27,0.45,0.81,17,complete
Eleutherodactylus,Eleutherodactylus hedricki,UF137271,2.28,1.99,1.89,1.76,1.94,1.4,1.78,1.28,1.6,2.55,47.26,complete
