Subgenus,Species,Catalog number,Acetabulum ht.,Ilium w. post acetabulum,Urostyle ant. w.,Humerus head w.,Olecranon w.,Radioulna prox. w.,Sacrum post. condyle w.,Sacrum centrum w.,Sacrum ant. condyle w.,Max w. distal humerus,Snout-urostyle length (mm),Distal condyle
Euhyas,Eleutherodactylus glandulifer,UF-H-58215,3.09,2.33,1.98,1.86,2.31,1.38,1.88,1.29,1.72,2.72,52.09,complete
Euhyas,Eleutherodactylus glandulifer,UF-H-58235,2.82,2.17,1.84,1.73,2.03,1.61,1.86,1.01,1.48,2.69,46.33,complete
Euhyas,Eleutherodactylus glandulifer,UF-H-71862,2.66,1.9,1.72,1.51,1.171,1.33,1.6,0.9,1.34,2.72,43.12,complete
Euhyas,Eleutherodactylus glandulifer,UF-H-58195,2.64,2.12,1.9,1.69,1.84,1.45,1.91,0.97,1.56,2.45,45.59,complete
Euhyas,Eleutherodactylus glandulifer,UF-H-58176,2.78,2.09,1.83,1.92,1.95,1.45,1.84,0.91,1.69,2.57,46.25,complete
Euhyas,Eleutherodactylus glandulifer,UF-H-58216,2.41,1.64,1.18,1.4,1.75,1.16,1.59,0.74,2.82,1.87,35.73,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-58243,1.58,1.2,1.12,0.97,1.1,0.9,1.16,0.58,0.98,1.31,26.89,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-53897,1.87,1.25,1.32,1.13,1.32,0.95,1.35,0.64,1.03,1.63,30.89,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-58159,1.73,1.18,1.12,1.07,1.13,0.78,1.21,0.57,0.88,1.31,25.12,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-58179,1.6,1.2,1.18,1.03,1.2,0.98,1.21,0.53,0.89,1.28,27.97,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-85224,1.75,1.23,1.26,1.14,1.43,0.89,1.23,0.71,0.99,1.4,29.05,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-58198,1.52,1.05,1.15,0.74,1.04,0.69,1.05,0.51,0.86,1.07,24.36,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-58194,2.21,1.75,1.56,1.48,1.59,1.23,1.52,0.9,1.28,2.1,36.42,complete
Euhyas,Eleutherodactylus glandulifer,UF-H-58233,2.05,1.74,1.55,1.45,1.66,1.25,1.59,0.78,1.19,1.85,34.43,complete
Euhyas,Eleutherodactylus glandulifer,UF-H-58191,1.85,1.33,1.32,1.11,1.38,0.98,1.3,0.69,0.92,1.54,30.32,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-63992,1.79,1.24,1.23,1.19,1.42,0.97,1.29,0.68,1.11,1.47,30.49,incomplete
Euhyas,Eleutherodactylus glandulifer,UF-H-58199,2.23,1.68,1.4,1.32,1.67,1.07,1.5,0.63,1.31,1.91,35.26,complete
Euhyas,Eleutherodactylus glandulifer,UF-H-58241,2.05,1.46,1.53,1.17,1.55,1.04,1.51,0.79,1.11,1.67,33.49,incomplete
Euhyas,Eleutherodactylus planirostris,UF-H-100175,1.17,0.94,0.82,0.75,0.72,0.58,0.84,0.44,0.67,0.93,23.72,complete
Euhyas,Eleutherodactylus planirostris,UF-H-25938,1.28,0.95,0.8,0.75,0.78,0.61,0.81,0.37,0.64,0.98,22.37,complete
Euhyas,Eleutherodactylus planirostris,UF-H-339-1,1.19,0.92,0.83,0.72,0.76,0.65,0.83,0.45,0.65,0.97,22.21,complete
Euhyas,Eleutherodactylus planirostris,UF-H-183901,1.21,1.04,0.89,0.63,0.71,0.58,0.9,0.41,0.73,0.9,22.89,complete
Euhyas,Eleutherodactylus planirostris,UF-H-101528,1.2,0.94,0.83,0.71,0.8,0.6,0.87,0.36,0.67,1.01,20.72,complete
Euhyas,Eleutherodactylus planirostris,UF-H-2901-3,1.28,0.97,0.89,0.72,0.77,0.69,0.9,0.35,0.73,0.97,23.5,complete
Euhyas,Eleutherodactylus planirostris,UF-H-187128,1.09,0.81,0.88,0.71,0.77,0.52,0.89,0.32,0.63,0.87,18.53,complete
Euhyas,Eleutherodactylus planirostris,UF-H-101532,1.24,0.98,0.88,0.71,0.81,0.65,0.89,0.44,0.74,0.98,23.02,complete
Euhyas,Eleutherodactylus planirostris,UF-H-101531,1.2,0.87,0.78,0.74,0.79,0.6,0.79,0.4,0.64,0.99,20.94,complete
Euhyas,Eleutherodactylus planirostris,UF-H-1239-6,1.23,0.9,0.84,0.73,0.81,0.59,0.88,0.36,0.62,0.99,21.03,complete
Euhyas,Eleutherodactylus planirostris,UF-H-187125,0.95,0.71,0.78,0.61,0.7,0.51,0.8,0.39,0.57,0.88,16.77,complete
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
